title,price
"14"" Lenovo T450s i5-5300u 8GB 250GB HDD Windows 10 Professional Portatīvais dators",272.99
"Fujitsu E546 14 1920x1080 i5-6200U 32GB 128SSD WIN10Pro, atjaunots",273.0
"DELL E7280 12.5 1920x1080 i5-7300U 16GB 512SSD WIN10Pro, atjaunots",274.55
"DELL E5580 15.6 1920x1080 i5-6200U 16GB 128SSD M.2 NVME WIN10Pro, atjaunots",274.55
Dell E5450,274.55
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 960SSD M.2 NVME WIN10Pro WEBCAM RENEW,274.55
DELL E5470 14 1920x1080 i5-6200U 8GB 128SSD M.2 NVME WIN10Pro WEBCAM RENEW,274.55
Dell E5450,274.55
"Toshiba B551 i3-2350M 8GB 250GB HDD Windows 10 Professional Portatīvais dators, atjaunots",278.24
"Dell Latitude 5570 i5-6440HQ 15,6"" FHD 8GB 256GB SSD Win10Pro",279.0
"14"" Lenovo L470 i5-6200U 8GB 120GB SSD Windows 10 Professional Portatīvais dators",279.99
"Portatīvais dators 15.6"" 15-gw Athlon 3050U 6GB 256GB SSD Windows 10",279.99
"14"" ThinkPad T450 i5-5300U 8GB 512GB SSD Windows 10 Pro Portatīvais dators",279.99
HP Elitebook 840 G3 i5-6300 4GB 240GB SSD Windows 10 Professional ReNew Portatīvais dators,279.99
"14"" Lenovo T460 i5-6300U 4GB 240GB SSD Windows 10 Professional Portatīvais dators",279.99
"14"" Lenovo T460 i5-6300U 8GB 120GB SSD Windows 10 Professional Portatīvais dators",279.99
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],281.05
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],281.05
Lenovo T470 14 1920x1080 i5-6300U 8GB 256SSD WIN10Pro WEBCAM RENEW [refurbished],282.15
"14"" Lenovo T450s i5-5300u 4GB 240GB SSD Windows 10 Professional Portatīvais dators",282.44
"Fujitsu E546 14 1920x1080 i5-6200U 32GB 256SSD WIN10Pro, atjaunots",283.0
"DELL E5580 15.6 1920x1080 i5-6200U 16GB 256SSD M.2 NVME WIN10Pro, atjaunots",284.05
"DELL E5580 15.6 1920x1080 i5-6200U 8GB 512SSD M.2 NVME WIN10Pro, atjaunots",284.05
DELL E5470 14 1920x1080 i5-6200U 8GB 256SSD M.2 NVME WIN10Pro WEBCAM RENEW,284.05
Dell E7280,284.05
Asus P1412CEA,287.28
"Fujitsu E546 14 1920x1080 i5-6200U 16GB 1TB SSD WIN10Pro, atjaunots",288.0
ThinkPad T460s i5-6300U 14.0 FHD 8GB RAM 256GB SSD Win10 PRO,289.0
"HP 840 G2 i5-5300U 4GB 120GB SSD Windows 10 Professional 14""",289.79
"HP 840 G2 i5-5300U 8GB 120GB SSD Windows 10 Professional 14""",289.99
"14"" Lenovo T460 i5-6300U 8GB 240GB SSD Windows 10 Professional Portatīvais dators",289.99
"14"" Lenovo L470 i5-6200U 8GB 240GB SSD Windows 10 Professional Portatīvais dators",289.99
"Portatīvais dators 14"" 5490 i3-7130U 4GB 128GB SSD Windows 10 Professional",289.99
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],293.32
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],293.32
DELL E5470 14 1920x1080 i5-6200U 16GB 128SSD M.2 NVME WIN10Pro WEBCAM RENEW,293.55
Dell E5450,293.55
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 960SSD M.2 NVME WIN10Pro WEBCAM RENEW,293.55
"15.6"" Acer Aspire 3 N4100 4GB 128GB SSD Windows 10 Professional Portatīvais dators",293.99
"14"" Lenovo T450s i5-5300u 8GB 120GB SSD Windows 10 Professional Portatīvais dators",293.99
"Portatīvais dators Techbite Zin 3, 14.1 HD, Celeron N4020, 4GB, 128GB SSD, Win 10 Home, ENG",295.0
"HP 840 G2 i5-5300U 8GB 240GB SSD Windows 10 Professional 14""",296.99
Lenovo L470,297.35
"Fujitsu E546 14 1920x1080 i5-6200U 32GB 512SSD WIN10Pro, atjaunots",298.0
Notebook A315-35-C4UC WIN11SH/ N4500/ 4GB/ 128GB/ UMA/ 15.6 Portatīvais dators,299.0
DELL Latitude E5570 I5-6300U 15.6 FHD 8GB 256GB AMD Win10 PRO,299.0
"15.6"" Lenovo ideapad 3 N4020 4GB 256GB SSD Portatīvais dators",299.99
"15.6"" Acer Extensa Celeron N4500 4GB 256GB SSD FHD Windows 10 Professional",299.99
"15.6"" Ideapad 3 N4020 4GB 128GB SSD Windows 10 Portatīvais dators",299.99
"14"" Ideapad S145 Athlon 300U 4GB 128GB SSD Windows 10",299.99
"15.6"" HP 650 G1 i5-4300M 4GB 256GB SSD Windows 10 Professional Portatīvais dators",299.99
"Portatīvais dators 15.6"" V130-15IKB i3-7020U 8GB 128GB SSD FHD Wndows 10",299.99
"14"" Lenovo T460 i5-6300U 4GB 480GB SSD Windows 10 Professional Portatīvais dators",299.99
"15.6"" Fujitsu A576 i5-6200 8GB 256GB SSD Windows 10 Pro Portatīvais dators",299.99
"Dell Latitude 5570 i5-6440HQ 15,6"" FHD 8GB 512GB SSD Win10Pro",300.0
"DELL Latitude 5490 i5-7300U 14.0 FHD TouchScreen 8GB RAM 256GB SSD WebCam Win 10 Pro, atjaunots",300.0
"HP 840 G2 i5-5300U 4GB 240GB SSD Windows 10 Professional 14""",300.29
Asus Chromebook Flip CR1 (CR1100FKA-BP0487),302.0
HP 430 G5,302.15
"Thomson NEO15 15,6'' 4 GB RAM 128 GB SSD (eMMC) Intel Celeron N4020",302.53
HP 830 G5,303.0
"DELL E5580 15.6 1920x1080 i5-6200U 16GB 512SSD M.2 NVME WIN10Pro, atjaunots",303.05
DELL E5470 14 1920x1080 i5-6200U 16GB 256SSD M.2 NVME WIN10Pro WEBCAM RENEW,303.05
"DELL E7280 12.5 1920x1080 i5-7300U 8GB 1TB SSD WIN10Pro, atjaunots",303.05
Dell E7280,303.05
DELL E5470 14 1920x1080 i5-6200U 8GB 512SSD M.2 NVME WIN10Pro WEBCAM RENEW,303.05
"14"" Lenovo T450s i5-5300u 8GB 240GB SSD Windows 10 Professional Portatīvais dators",304.49
"14"" Lenovo T450s i5-5300u 4GB 480GB SSD Windows 10 Professional Portatīvais dators",305.54
"15.6"" 255 G7 Ryzen 3 2200U 8GB 128GB M2 SSD Windows 10 Professional Portatīvais dators",309.99
"14"" Lenovo L470 i5-6200U 8GB 480GB SSD Windows 10 Professional Portatīvais dators",309.99
"15.6"" V145-15AST AMD A4-9125 8GB 256GB SSD Windows 10",309.99
"14"" Lenovo T460 i5-6300U 16GB 120GB SSD Windows 10 Professional Portatīvais dators",309.99
"15.6"" Fujitsu A576 i5-6200 4GB 512GB SSD Windows 10 Pro Portatīvais dators",309.99
HP Elitebook 840 G3 i5-6300 8GB 120GB SSD Windows 10 Professional ReNew Portatīvais dators,309.99
"14"" Lenovo L470 i5-6200U 16GB 120GB SSD Windows 10 Professional Portatīvais dators",309.99
"14"" Lenovo T460 i5-6300U 8GB 480GB SSD Windows 10 Professional Portatīvais dators",309.99
Lenovo L570 i5-6300U 4GB 250GB HDD Microsoft Windows 10 Professional (Renew) Portatīvais dators,309.99
"DELL E5580 15.6 1920x1080 i5-6200U 32GB 128SSD M.2 NVME WIN10Pro, atjaunots",312.55
Dell 5480,312.55
"14"" 3401 Vostro i3-1005G1 4GB 128GB SSD Windows 10 Professional Portatīvais dators",314.99
"15.6"" Acer Aspire 3 N4100 4GB 256GB SSD Windows 10 Professional Portatīvais dators",314.99
"14"" Ideapad S130 N5000 4GB 256GB SSD Windows 10 Portatīvais dators",314.99
"15.6"" HP 650 G1 i5-4300M 4GB 128GB SSD Windows 10 Professional Portatīvais dators",314.99
Lenovo L470,316.35
HP 830 G5,317.0
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],317.86
"Portatīvais dators 15.6"" 255 G7 Ryzen 3 2200U 8GB 256GB M2 SSD Windows 10 Professional",319.99
"15.6"" Fujitsu A576 i5-6200 16GB 512GB SSD Windows 10 Pro Portatīvais dators",319.99
"14"" Latitude 7480 i5-7300U 4GB 128GB SSD Windows 10 Professional Portatīvais dators",319.99
